



 PAIRING FACTOR=  0.500

 M*,R0  A DEPENDENT AND ALP= 0.600

 WITHOUT BOTTOM RAISING



 ALL-F
 ALL-G-T
 1ST-0A
 1ST-1V
 1ST-1A
 1ST-2A

 MODIFIED  LORENTZ TYPE II + HYPERBOLIC-SEC

 SIGMA1,2 INDEPEND ON THE MASS NUMBER AND SIGMA3=     40.00
 GAMMA=      100.00
 C1= 0.700     C2= 0.300

-----------------------------------------------------------


Calculated by using Gross Theory ver.2  with KTUY mass formula




 Beta    Z    N    A       Q-value   Half-life
 
minus                       (MeV)       (sec)

   -1   16   22   38         2.2231  0.1278E+03
   -1   16   23   39         6.3105  0.4680E+01
   -1   16   24   40         5.2433  0.2428E+01
   -1   16   25   41         9.3502  0.5435E+00
   -1   16   26   42         8.0414  0.2810E+00
   -1   16   27   43        11.5179  0.1445E+00
   -1   16   28   44        10.2827  0.7515E-01
   -1   16   29   45        14.9908  0.2632E-01
   -1   16   30   46        13.8294  0.1481E-01
   -1   16   31   47        17.1552  0.1050E-01
   -1   16   32   48        16.1098  0.6212E-02
   -1   16   33   49        19.7068  0.4237E-02
   -1   16   34   50        18.7686  0.2654E-02
   -1   16   35   51        21.8627  0.2152E-02
   -1   16   36   52        20.8156  0.1468E-02
   -1   16   37   53        23.8133  0.1229E-02
   -1   16   38   54        22.7265  0.8828E-03
   -1   16   39   55        25.5720  0.7683E-03
   -1   16   40   56        24.4932  0.5658E-03
   -1   16   41   57        27.1654  0.5110E-03
   -1   16   42   58        26.0782  0.3887E-03
   -1   16   43   59        28.7771  0.3492E-03
   -1   16   44   60        27.7648  0.2682E-03
   -1   16   45   61        30.2450  0.2505E-03
   -1   16   46   62        29.0929  0.2008E-03
   -1   16   47   63        31.5434  0.1882E-03
   -1   17   19   36         0.9435  0.2462E+05
   -1   17   21   38         4.7377  0.8506E+02
   -1   17   22   39         3.1936  0.1072E+03
   -1   17   23   40         7.2827  0.1071E+02
   -1   17   24   41         5.9419  0.6161E+01
   -1   17   25   42        10.1785  0.1381E+01
   -1   17   26   43         9.1708  0.6124E+00
   -1   17   27   44        12.8185  0.2800E+00
   -1   17   28   45        11.4590  0.1531E+00
   -1   17   29   46        16.3355  0.4667E-01
   -1   17   30   47        15.1974  0.2494E-01
   -1   17   31   48        18.5895  0.1693E-01
   -1   17   32   49        17.4412  0.9871E-02
   -1   17   33   50        21.1661  0.6332E-02
   -1   17   34   51        20.1242  0.3904E-02
   -1   17   35   52        23.0898  0.3267E-02
   -1   17   36   53        21.9703  0.2181E-02
   -1   17   37   54        25.0123  0.1802E-02
   -1   17   38   55        23.8088  0.1285E-02
   -1   17   39   56        26.5573  0.1144E-02
   -1   17   40   57        25.3178  0.8457E-03
   -1   17   41   58        28.1033  0.7467E-03
   -1   17   42   59        26.7165  0.5857E-03
   -1   17   43   60        29.3103  0.5378E-03
   -1   17   44   61        28.2423  0.4041E-03
   -1   17   45   62        30.9264  0.3642E-03
   -1   17   46   63        29.9695  0.2749E-03
   -1   17   47   64        32.5307  0.2534E-03
   -1   17   48   65        31.4556  0.1995E-03
   -1   17   49   66        33.7635  0.1918E-03
   -1   17   50   67        32.6108  0.1552E-03
   -1   18   23   41         2.0773  0.7053E+03
   -1   18   24   42         0.5912  0.2502E+05
   -1   18   25   43         4.5145  0.2316E+02
   -1   18   26   44         3.4582  0.1754E+02
   -1   18   27   45         7.4779  0.1887E+01
   -1   18   28   46         6.2979  0.9513E+00
   -1   18   29   47        11.3504  0.1562E+00
   -1   18   30   48        10.1295  0.8193E-01
   -1   18   31   49        13.5970  0.4662E-01
   -1   18   32   50        12.5085  0.2493E-01
   -1   18   33   51        16.3862  0.1351E-01
   -1   18   34   52        15.1335  0.8569E-02
   -1   18   35   53        18.0894  0.6891E-02
   -1   18   36   54        16.8451  0.4624E-02
   -1   18   37   55        19.8924  0.3668E-02
   -1   18   38   56        18.8920  0.2417E-02
   -1   18   39   57        21.8959  0.1969E-02
   -1   18   40   58        20.7534  0.1400E-02
   -1   18   41   59        23.9045  0.1114E-02
   -1   18   42   60        22.4243  0.8904E-03
   -1   18   43   61        24.9163  0.8260E-03
   -1   18   44   62        23.6527  0.6409E-03
   -1   18   45   63        26.0226  0.6084E-03
   -1   18   46   64        24.9007  0.4670E-03
   -1   18   47   65        27.5566  0.4177E-03
   -1   18   48   66        26.5797  0.3188E-03
   -1   18   49   67        29.0418  0.2960E-03
   -1   18   50   68        27.7940  0.2417E-03
   -1   18   51   69        30.1056  0.2302E-03
   -1   18   52   70        29.7125  0.1650E-03
   -1   19   21   40         0.9120  0.3268E+05
   -1   19   23   42         3.3256  0.4077E+03
   -1   19   24   43         1.8993  0.1038E+04
   -1   19   25   44         5.8861  0.3324E+02
   -1   19   26   45         4.5236  0.2269E+02
   -1   19   27   46         8.4215  0.4357E+01
   -1   19   28   47         7.2617  0.2180E+01
   -1   19   29   48        12.6015  0.3018E+00
   -1   19   30   49        11.3404  0.1588E+00
   -1   19   31   50        14.8122  0.8754E-01
   -1   19   32   51        13.6039  0.4732E-01
   -1   19   33   52        17.6335  0.2302E-01
   -1   19   34   53        16.3523  0.1405E-01
   -1   19   35   54        19.3377  0.1110E-01
   -1   19   36   55        17.9932  0.7345E-02
   -1   19   37   56        20.9563  0.5937E-02
   -1   19   38   57        19.7993  0.3902E-02
   -1   19   39   58        22.8020  0.3153E-02
   -1   19   40   59        21.6500  0.2170E-02
   -1   19   41   60        25.0014  0.1626E-02
   -1   19   42   61        23.5710  0.1251E-02
   -1   19   43   62        25.9788  0.1190E-02
   -1   19   44   63        24.6863  0.9038E-03
   -1   19   45   64        27.1738  0.8406E-03
   -1   19   46   65        25.9047  0.6487E-03
   -1   19   47   66        28.3897  0.6022E-03
   -1   19   48   67        27.2319  0.4631E-03
   -1   19   49   68        29.7530  0.4262E-03
   -1   19   50   69        28.5771  0.3354E-03
   -1   19   51   70        31.0020  0.3141E-03
   -1   19   52   71        30.5645  0.2204E-03
   -1   19   53   72        32.9944  0.2062E-03
   -1   19   54   73        32.2777  0.1560E-03
   -1   19   55   74        34.6118  0.1482E-03
   -1   20   25   45         0.2176  0.2909E+07
   -1   20   27   47         2.2713  0.4766E+03
   -1   20   28   48         0.7694  0.9423E+04
   -1   20   29   49         6.0032  0.6002E+01
   -1   20   30   50         4.8992  0.3252E+01
   -1   20   31   51         8.4365  0.8876E+00
   -1   20   32   52         7.1309  0.4819E+00
   -1   20   33   53        11.1224  0.1559E+00
   -1   20   34   54        10.0886  0.7627E-01
   -1   20   35   55        13.4611  0.4375E-01
   -1   20   36   56        12.2125  0.2592E-01
   -1   20   37   57        15.2752  0.1853E-01
   -1   20   38   58        13.9412  0.1209E-01
   -1   20   39   59        16.7772  0.9727E-02
   -1   20   40   60        15.4698  0.6646E-02
   -1   20   41   61        18.8848  0.4526E-02
   -1   20   42   62        17.8961  0.2971E-02
   -1   20   43   63        20.8247  0.2409E-02
   -1   20   44   64        19.6785  0.1727E-02
   -1   20   45   65        22.2739  0.1541E-02
   -1   20   46   66        21.0453  0.1160E-02
   -1   20   47   67        23.4124  0.1093E-02
   -1   20   48   68        22.0253  0.8703E-03
   -1   20   49   69        24.3885  0.8185E-03
   -1   20   50   70        22.9632  0.6671E-03
   -1   20   51   71        25.2329  0.6387E-03
   -1   20   52   72        24.7184  0.4370E-03
   -1   20   53   73        27.2976  0.3924E-03
   -1   20   54   74        26.4692  0.2950E-03
   -1   20   55   75        28.9568  0.2701E-03
   -1   20   56   76        27.8738  0.2169E-03
   -1   20   57   77        30.1663  0.2058E-03
   -1   20   58   78        29.0463  0.1684E-03
   -1   21   25   46         1.8892  0.4405E+04
   -1   21   26   47         0.1467  0.1061E+08
   -1   21   27   48         3.8091  0.2361E+03
   -1   21   28   49         2.2238  0.5201E+03
   -1   21   29   50         7.3426  0.9840E+01
   -1   21   30   51         6.1436  0.5218E+01
   -1   21   31   52         9.9048  0.1443E+01
   -1   21   32   53         8.6033  0.7913E+00
   -1   21   33   54        12.4143  0.2872E+00
   -1   21   34   55        11.1721  0.1531E+00
   -1   21   35   56        14.7678  0.7610E-01
   -1   21   36   57        13.6685  0.4052E-01
   -1   21   37   58        16.8646  0.2711E-01
   -1   21   38   59        15.5183  0.1724E-01
   -1   21   39   60        18.5078  0.1309E-01
   -1   21   40   61        17.2395  0.8552E-02
   -1   21   41   62        20.3825  0.6330E-02
   -1   21   42   63        19.2426  0.4196E-02
   -1   21   43   64        22.1036  0.3462E-02
   -1   21   44   65        21.0704  0.2330E-02
   -1   21   45   66        23.8518  0.1984E-02
   -1   21   46   67        22.7486  0.1414E-02
   -1   21   47   68        25.2739  0.1290E-02
   -1   21   48   69        23.9373  0.9989E-03
   -1   21   49   70        26.3532  0.9336E-03
   -1   21   50   71        25.0941  0.7234E-03
   -1   21   51   72        27.5321  0.6714E-03
   -1   21   52   73        26.2523  0.5320E-03
   -1   21   53   74        28.8094  0.4811E-03
   -1   21   54   75        27.8083  0.3670E-03
   -1   21   55   76        30.2585  0.3393E-03
   -1   21   56   77        29.1670  0.2684E-03
   -1   21   57   78        31.5507  0.2512E-03
   -1   21   58   79        30.4970  0.2004E-03
   -1   21   59   80        34.0766  0.1528E-03
   -1   21   60   81        32.1460  0.1437E-03
   -1   22   29   51         2.8912  0.1834E+03
   -1   22   30   52         1.5445  0.6407E+03
   -1   22   31   53         5.4208  0.1019E+02
   -1   22   32   54         4.1147  0.7545E+01
   -1   22   33   55         7.8966  0.1286E+01
   -1   22   34   56         6.6810  0.6671E+00
   -1   22   35   57        10.0556  0.2802E+00
   -1   22   36   58         8.9215  0.1421E+00
   -1   22   37   59        12.3167  0.7309E-01
   -1   22   38   60        11.1518  0.4066E-01
   -1   22   39   61        14.2152  0.2765E-01
   -1   22   40   62        13.0416  0.1684E-01
   -1   22   41   63        16.1082  0.1208E-01
   -1   22   42   64        15.0512  0.7580E-02
   -1   22   43   65        17.8099  0.6248E-02
   -1   22   44   66        16.5246  0.4435E-02
   -1   22   45   67        19.3153  0.3658E-02
   -1   22   46   68        18.2787  0.2505E-02
   -1   22   47   69        20.9272  0.2171E-02
   -1   22   48   70        19.7187  0.1611E-02
   -1   22   49   71        22.1432  0.1484E-02
   -1   22   50   72        20.9490  0.1122E-02
   -1   22   51   73        24.1909  0.8530E-03
   -1   22   52   74        22.8048  0.6931E-03
   -1   22   53   75        25.1194  0.6542E-03
   -1   22   54   76        23.9483  0.5144E-03
   -1   22   55   77        26.4348  0.4678E-03
   -1   22   56   78        25.2233  0.3770E-03
   -1   22   57   79        27.6401  0.3479E-03
   -1   22   58   80        26.6071  0.2748E-03
   -1   22   59   81        30.2158  0.2045E-03
   -1   22   60   82        28.3353  0.1915E-03
   -1   22   61   83        30.2481  0.1933E-03
   -1   22   62   84        29.1177  0.1596E-03
   -1   22   63   85        31.3880  0.1512E-03
   -1   23   27   50         0.8047  0.1233E+06
   -1   23   29   52         4.2948  0.1560E+03
   -1   23   30   53         2.9024  0.1769E+03
   -1   23   31   54         6.8494  0.1481E+02
   -1   23   32   55         5.4852  0.9287E+01
   -1   23   33   56         8.9805  0.2640E+01
   -1   23   34   57         7.8221  0.1337E+01
   -1   23   35   58        11.3355  0.5134E+00
   -1   23   36   59        10.0785  0.2760E+00
   -1   23   37   60        13.3211  0.1499E+00
   -1   23   38   61        12.1032  0.8225E-01
   -1   23   39   62        15.2128  0.5299E-01
   -1   23   40   63        13.9424  0.3184E-01
   -1   23   41   64        16.8706  0.2358E-01
   -1   23   42   65        15.8293  0.1377E-01
   -1   23   43   66        18.9586  0.9841E-02
   -1   23   44   67        17.7759  0.6497E-02
   -1   23   45   68        20.5044  0.5454E-02
   -1   23   46   69        19.3495  0.3727E-02
   -1   23   47   70        22.0169  0.3212E-02
   -1   23   48   71        20.8817  0.2263E-02
   -1   23   49   72        23.2464  0.2129E-02
   -1   23   50   73        21.9642  0.1601E-02
   -1   23   51   74        25.5700  0.1101E-02
   -1   23   52   75        24.2589  0.8633E-03
   -1   23   53   76        26.6962  0.7959E-03
   -1   23   54   77        25.4768  0.6214E-03
   -1   23   55   78        28.0292  0.5586E-03
   -1   23   56   79        26.7155  0.4527E-03
   -1   23   57   80        29.0712  0.4242E-03
   -1   23   58   81        28.0089  0.3314E-03
   -1   23   59   82        31.6205  0.2448E-03
   -1   23   60   83        29.6089  0.2328E-03
   -1   23   61   84        31.3623  0.2436E-03
   -1   23   62   85        30.0433  0.2048E-03
   -1   23   63   86        32.2696  0.1961E-03
   -1   23   64   87        31.1044  0.1620E-03
   -1   23   65   88        33.3266  0.1551E-03
   -1   23   66   89        32.1922  0.1287E-03
   -1   24   31   55         2.5215  0.3433E+03
   -1   24   32   56         1.1352  0.2288E+04
   -1   24   33   57         4.5482  0.2389E+02
   -1   24   34   58         3.0794  0.2910E+02
   -1   24   35   59         6.5307  0.3671E+01
   -1   24   36   60         5.3546  0.1950E+01
   -1   24   37   61         8.6367  0.6797E+00
   -1   24   38   62         7.3174  0.3824E+00
   -1   24   39   63        10.4318  0.1966E+00
   -1   24   40   64         9.1606  0.1113E+00
   -1   24   41   65        12.1075  0.7181E-01
   -1   24   42   66        10.7730  0.4457E-01
   -1   24   43   67        13.8098  0.2967E-01
   -1   24   44   68        12.8424  0.1688E-01
   -1   24   45   69        16.0526  0.1124E-01
   -1   24   46   70        15.0616  0.7044E-02
   -1   24   47   71        17.7036  0.5945E-02
   -1   24   48   72        16.5888  0.4071E-02
   -1   24   49   73        18.9826  0.3738E-02
   -1   24   50   74        17.6985  0.2773E-02
   -1   24   51   75        21.6267  0.1673E-02
   -1   24   52   76        20.2772  0.1316E-02
   -1   24   53   77        22.7050  0.1202E-02
   -1   24   54   78        21.5135  0.9255E-03
   -1   24   55   79        24.1307  0.8093E-03
   -1   24   56   80        22.8530  0.6481E-03
   -1   24   57   81        25.1957  0.6039E-03
   -1   24   58   82        24.1031  0.4715E-03
   -1   24   59   83        27.8055  0.3340E-03
   -1   24   60   84        25.8657  0.3151E-03
   -1   24   61   85        27.7069  0.3240E-03
   -1   24   62   86        26.1002  0.2874E-03
   -1   24   63   87        28.1352  0.2839E-03
   -1   24   64   88        26.9760  0.2327E-03
   -1   24   65   89        29.2129  0.2210E-03
   -1   24   66   90        28.0183  0.1842E-03
   -1   24   67   91        30.1808  0.1772E-03
   -1   24   68   92        28.9776  0.1492E-03
   -1   25   29   54         1.3593  0.1842E+05
   -1   25   31   56         3.8629  0.2592E+03
   -1   25   32   57         2.4677  0.3669E+03
   -1   25   33   58         6.0891  0.2888E+02
   -1   25   34   59         4.4891  0.2429E+02
   -1   25   35   60         7.7739  0.6385E+01
   -1   25   36   61         6.4530  0.3812E+01
   -1   25   37   62         9.8571  0.1283E+01
   -1   25   38   63         8.6760  0.6579E+00
   -1   25   39   64        11.7955  0.3371E+00
   -1   25   40   65        10.4053  0.2006E+00
