Sn135,0.472981,0.0224332,0.211385,0.0200578,4.20231e-12,0.0125031,28.4163,150,0.05,9.05
Sn136,0.3547,0.00330023,0.195947,0.00447238,0.0163634,0.00144189,42.3624,225,0.05,9.05
Sn137,0.235988,0.00379234,0.216311,0.010575,0.0253844,0.00291576,40.0687,225,0.05,9.05
Sn138,0.160889,0.0102659,0.259635,0.0452578,0.00462847,0.00881194,37.3178,100,0.05,9.05
Ag130,0.0414069,0.00415073,0.677997,0.054967,0.0218485,0.01803,38.5539,225,0.05,9.05
Ag131,0.0328715,0.00433426,0.891985,0.141552,3.13367e-09,0.132472,38.8989,150,0.05,9.05
Cd129,0.147042,0.0040367,0.0248024,0.0055785,0.00642493,0.0037166,34.6139,450,0.05,9.05
Cd130,0.134441,0.000860294,0.0380059,0.00192353,0.0140878,0.000926342,38.9466,900,0.05,9.05
Cd131,0.0976312,0.00130991,0.153888,0.00532287,0.0150378,0.00185532,32.7722,450,0.05,9.05
Cd132,0.0813035,0.00239575,0.907871,0.0260705,0.0349972,0.00554328,33.5573,225,0.05,9.05
Cd133,0.0541818,0.00563969,0.818399,0.0810928,0.059511,0.0284117,40.1964,225,0.05,9.05
In131,0.2748,0.0048284,0.0434015,0.00365513,0.00231381,0.00205464,36.6825,450,0.05,9.05
In132,0.203113,0.00607066,0.110473,0.00992684,0.00384902,0.00574288,39.1098,450,0.05,9.05
In133,0.165957,0.00107325,0.8482,0.00580187,0.0262484,0.00156346,32.699,225,0.05,9.05
In134,0.131563,0.00116431,0.757746,0.00983233,0.165337,0.00469908,37.0009,225,0.05,9.05
In135,0.102968,0.00294661,0.793254,0.0218254,0.117158,0.0104689,40.0668,225,0.05,9.05
Sn134,0.989861,0.0368527,0.253241,0.0188325,0.000870531,0.00738692,36.8724,150,0.05,9.05
Sn135,0.472981,0.0224332,0.211385,0.0200578,4.20231e-12,0.0125031,28.4163,150,0.05,9.05
Sn136,0.3547,0.00330023,0.195947,0.00447238,0.0163634,0.00144189,42.3624,225,0.05,9.05
Sn137,0.235988,0.00379234,0.216311,0.010575,0.0253844,0.00291576,40.0687,225,0.05,9.05
Sn138,0.160889,0.0102659,0.259635,0.0452578,0.00462847,0.00881194,37.3178,100,0.05,9.05
Ag130,0.0211899,0.000493031,1.89698e-08,0.746857,0.798685,0.0634385,79.6838,225,0.05,9.05
Ag131,0.0349135,0.00860865,1.49723e-07,0.731098,1,0.741058,47.1798,150,0.05,9.05
Cd129,0.113833,0.0211196,0.0145354,0.0870838,7.64632e-07,0.641921,39.2816,450,0.05,9.05
Cd130,0.0839386,nan,0.725911,nan,0.0479839,nan,10.9315,900,0.05,9.05
Cd131,0.165586,0.00280938,0.0682232,0.0111842,0.00381254,0.00776047,88.0254,450,0.05,9.05
Cd132,0.0666217,0.00768143,0.641339,0.153912,0.282152,0.146618,44.009,225,0.05,9.05
Cd133,0.0614263,0.032252,0.341736,0.394487,4.2401e-07,0.796286,57.4464,225,0.05,9.05
In131,0.333158,0.0321957,0.0255278,0.0345827,0.000165424,0.000169597,53.5713,450,0.05,9.05
In132,0.199109,0.042733,0.0647884,0.726504,0.00777562,0.891956,57.6895,450,0.05,9.05
In133,0.155102,0.00689452,0.895448,0.041654,6.87284e-13,0.00357472,30.2668,225,0.05,9.05
In134,0.129497,0.00629413,0.831469,0.0584136,0.124479,0.0252984,40.8753,225,0.05,9.05
In135,0.0612787,0.0106759,0.860656,0.128655,1.0799e-06,0.880304,45.8271,225,0.05,9.05
Sn134,1.5763,0.342326,0.112208,0.219679,0.00880084,0.992578,80.3633,150,0.05,9.05
