# HybridConf_140b_V68_Jul16Jul17.geo					
# Point neutron source					
# Total Events	25000				
# Code 	brikenV68				
# Date 	13Feb18				
# Calculations by A. Navarro/A. Tarifeño-Saldivia					
# Efficiency	(0,0,-10)	(0,0,0)	(0,0,10)		
# Average [1e-4, 1] MeV	70.25%	68.24%	70.37%		
# Average [1e-4, 5] MeV	62.81%	62.68%	62.76%		
# Average [1e-4, 10] MeV	54.10%	54.44%	54.08%		
#					
#X/cm	Y/cm	Z/cm	Energy/MeV	Efficiency	Std. Error
0	0	0	8.5	0.407	0.004
0	0	0	8.6	0.4069	0.004
0	0	0	8.7	0.403	0.004
0	0	0	8.8	0.3992	0.004
0	0	0	8.9	0.3972	0.004
0	0	0	9	0.3921	0.004
0	0	0	9.1	0.3858	0.0039
0	0	0	9.2	0.3789	0.0039
0	0	0	9.3	0.3751	0.0039
0	0	0	9.4	0.377	0.0039
0	0	0	9.5	0.3801	0.0039
0	0	0	9.6	0.376	0.0039
0	0	0	9.7	0.3722	0.0039
0	0	0	9.8	0.3633	0.0038
0	0	0	9.9	0.3671	0.0038
0	0	0	10	0.367	0.0038
					
0	0	5	0.000000001	0.5497	0.0047
0	0	5	0.000000004	0.5562	0.0047
0	0	5	0.000000007	0.5752	0.0048
0	0	5	0.00000001	0.5836	0.0048
0	0	5	0.00000004	0.6105	0.0049
0	0	5	0.00000007	0.6292	0.005
0	0	5	0.0000001	0.6396	0.0051
0	0	5	0.0000004	0.6732	0.0052
0	0	5	0.0000007	0.6857	0.0052
0	0	5	0.000001	0.6882	0.0052
0	0	5	0.000004	0.6886	0.0052
0	0	5	0.000007	0.6948	0.0053
0	0	5	0.00001	0.6963	0.0053
0	0	5	0.00004	0.6997	0.0053
0	0	5	0.00007	0.6991	0.0053
0	0	5	0.0001	0.7004	0.0053
0	0	5	0.0004	0.6993	0.0053
0	0	5	0.0007	0.6973	0.0053
0	0	5	0.001	0.695	0.0053
0	0	5	0.004	0.6995	0.0053
0	0	5	0.007	0.6939	0.0053
0	0	5	0.01	0.6914	0.0053
