# HybridConf_140b_V68_Jul16Jul17.geo					
# Point neutron source					
# Total Events	250000				
# Code 	brikenV69				
# Date 	04May18				
# Calculations by A. Navarro/A. Tarifeño-Saldivia					
# Efficiency	(0,0,-10)	(0,0,0)	(0,0,10)		
# Average [1e-4, 1] MeV	69.03%	67.03%	69.00%		
# Average [1e-4, 5] MeV	62.01%	61.55%	61.87%		
# Average [1e-4, 10] MeV	53.78%	53.66%	53.66%		
#					
#X/cm	Y/cm	Z/cm	Energy/MeV	Efficiency	Std. Error
0	0	-2.5	1.9	0.6235	0.0016
0	0	-2.5	2	0.6203	0.0016
0	0	-2.5	2.1	0.6169	0.0016
0	0	-2.5	2.2	0.6142	0.0016
0	0	-2.5	2.3	0.6101	0.0016
0	0	-2.5	2.4	0.6073	0.0016
0	0	-2.5	2.5	0.6042	0.0016
0	0	-2.5	2.6	0.6019	0.0016
0	0	-2.5	2.7	0.598	0.0015
0	0	-2.5	2.8	0.5954	0.0015
0	0	-2.5	2.9	0.6001	0.0015
0	0	-2.5	3	0.5823	0.0015
0	0	-2.5	3.1	0.5861	0.0015
0	0	-2.5	3.2	0.5886	0.0015
0	0	-2.5	3.3	0.5863	0.0015
0	0	-2.5	3.4	0.586	0.0015
0	0	-2.5	3.5	0.5864	0.0015
0	0	-2.5	3.6	0.5819	0.0015
0	0	-2.5	3.7	0.5792	0.0015
0	0	-2.5	3.8	0.5742	0.0015
0	0	-2.5	3.9	0.5702	0.0015
0	0	-2.5	4	0.5659	0.0015
0	0	-2.5	4.1	0.5609	0.0015
0	0	-2.5	4.2	0.5551	0.0015
0	0	-2.5	4.3	0.5481	0.0015
0	0	-2.5	4.4	0.541	0.0015
0	0	-2.5	4.5	0.5371	0.0015
0	0	-2.5	4.6	0.5348	0.0015
0	0	-2.5	4.7	0.5296	0.0015
0	0	-2.5	4.8	0.5248	0.0014
0	0	-2.5	4.9	0.5222	0.0014
0	0	-2.5	5	0.5207	0.0014
0	0	-2.5	5.1	0.5139	0.0014
0	0	-2.5	5.2	0.5091	0.0014
0	0	-2.5	5.3	0.5056	0.0014
0	0	-2.5	5.4	0.5086	0.0014
0	0	-2.5	5.5	0.5043	0.0014
0	0	-2.5	5.6	0.5003	0.0014
0	0	-2.5	5.7	0.4953	0.0014
0	0	-2.5	5.8	0.4952	0.0014
0	0	-2.5	5.9	0.4951	0.0014
0	0	-2.5	6	0.4928	0.0014
0	0	-2.5	6.1	0.4922	0.0014
0	0	-2.5	6.2	0.4905	0.0014
0	0	-2.5	6.3	0.5095	0.0014
0	0	-2.5	6.4	0.4817	0.0014
0	0	-2.5	6.5	0.4716	0.0014
0	0	-2.5	6.6	0.4636	0.0014
0	0	-2.5	6.7	0.4644	0.0014
0	0	-2.5	6.8	0.4593	0.0014
0	0	-2.5	6.9	0.4577	0.0014
0	0	-2.5	7	0.4526	0.0013
0	0	-2.5	7.1	0.4483	0.0013
0	0	-2.5	7.2	0.4457	0.0013
0	0	-2.5	7.3	0.4465	0.0013
0	0	-2.5	7.4	0.4552	0.0013
0	0	-2.5	7.5	0.4592	0.0014
0	0	-2.5	7.6	0.4559	0.0014
0	0	-2.5	7.7	0.4553	0.0013
0	0	-2.5	7.8	0.4555	0.0013
0	0	-2.5	7.9	0.4432	0.0013
0	0	-2.5	8	0.4396	0.0013
